Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID,EEA Withdrawal Right Type,Reduced VAT Rates,Communications and amusement taxes,Tokenized digital asset declared
activity_packet_1,published,managed_by_android,false,"ru-RU; Подарочный набор Акции H; Суперценный подарочный набор, поторопитесь и купите его！; en-US; Activity Pack H; Super value activity Pack, buy it quickly!",false,SG; 480000; EE; 290000; GE; 1000000; KZ; 160000000; LT; 290000; LV; 290000; RU; 29000000,4636282047423738387,DIGITAL_CONTENT,,,false
activity_packet_12,published,managed_by_android,false,"ru-RU; Подарочный набор Акции B; Суперценный подарочный набор, поторопитесь и купите его！; en-US; New Member Specials; New member specials, hurry up and buy it!; zh-TW; 活動禮包B; 超值活動禮包，快點購買吧！",false,SG; 2980000; EE; 2390000; GE; 8000000; KZ; 990000000; LT; 2390000; LV; 2390000; RU; 199000000,4638030605074701685,DIGITAL_CONTENT,,,false
activity_packet_18,published,managed_by_android,false,"ru-RU; Подарочный набор Акции C; Суперценный подарочный набор, поторопитесь и купите его！; en-US; Activity Pack C; Super value activity Pack, buy it quickly!; zh-TW; 活動禮包C; 超值活動禮包，快點購買吧！",false,SG; 4480000; EE; 3590000; GE; 14000000; KZ; 1490000000; LT; 3590000; LV; 3590000; RU; 299000000,4635657977008581516,,,,false
activity_packet_3,published,managed_by_android,false,"ru-RU; Подарочный набор Акции G; Суперценный подарочный набор, поторопитесь и купите его！; en-US; Activity Pack G; Super value activity Pack, buy it quickly!",false,SG; 780000; EE; 590000; GE; 1000000; KZ; 270000000; LT; 590000; LV; 590000; RU; 49000000,4636574226528012035,DIGITAL_CONTENT,,,false
activity_packet_30,published,managed_by_android,false,"ru-RU; Подарочный набор Акции D; Суперценный подарочный набор, поторопитесь и купите его！; en-US; Activity Pack D; Super value activity Pack, buy it quickly!; zh-TW; 活動禮包D; 超值活動禮包，快點購買吧！",false,SG; 6980000; EE; 5990000; GE; 19000000; KZ; 2290000000; LT; 5990000; LV; 5990000; RU; 449000000,4635676448773441948,,,,false
activity_packet_50,published,managed_by_android,false,"ru-RU; Подарочный набор Акции E; Суперценный подарочный набор, поторопитесь и купите его！; en-US; Activity Pack E; Super value activity Pack, buy it quickly!",false,SG; 10980000; EE; 9990000; GE; 29000000; KZ; 3590000000; LT; 9990000; LV; 9990000; RU; 719000000,4636809490987253790,DIGITAL_CONTENT,,,false
activity_packet_6,published,managed_by_android,false,"ru-RU; Подарочный набор Акции A; Суперценный подарочный набор, поторопитесь и купите его！; en-US; Activity Pack A; Super value activity Pack, buy it quickly!; zh-TW; 活動禮包A; 超值活動禮包，快點購買吧！",false,SG; 1480000; EE; 1190000; GE; 4000000; KZ; 480000000; LT; 1190000; LV; 1190000; RU; 99000000,4636949807815236033,,,,false
activity_packet_88,published,managed_by_android,false,"ru-RU; Подарочный набор Акции F; Суперценный подарочный набор, поторопитесь и купите его！; en-US; Activity Pack F; Super value activity Pack, buy it quickly!",false,SG; 17980000; EE; 15990000; GE; 49000000; KZ; 5790000000; LT; 15990000; LV; 15990000; RU; 1190000000,4637466744727782404,DIGITAL_CONTENT,,,false
battlepass_advance,published,managed_by_android,false,ru-RU; Люксовая версия игровой карты; Разблокируйте награды продвинутого уровня.; en-US; Fun Card Deluxe; Fun Card Deluxe; zh-TW; 遊玩卡豪華進階版; 解鎖豪華進階版等級獎勵; zh-CN; 游玩卡豪华进阶版; 解锁豪华进阶版等级奖励,false,SG; 33980000; EE; 28990000; GE; 89000000; KZ; 10990000000; LT; 28990000; LV; 28990000; RU; 2190000000,4637485099123701007,,,,false
battlepass_advance_discount,published,managed_by_android,false,ru-RU; Люксовая версия игровой карты (Скидка); Разблокируйте награды продвинутого уровня.; en-US; Fun Card Deluxe(Discount); Fun Card Deluxe(Discount); zh-TW; 游玩卡豪華进阶版(折扣); 解鎖豪華進階版等級獎勵,false,SG; 28980000; EE; 23990000; GE; 79000000; KZ; 9390000000; LT; 23990000; LV; 23990000; RU; 1790000000,4637767949177231867,,,,false
