Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID,EEA Withdrawal Right Type,Reduced VAT Rates,Communications and amusement taxes,Tokenized digital asset declared
activity_packet_1,published,managed_by_android,false,"en-US; Activity Pack H; Super value activity Pack, buy it quickly!",false,SG; 480000; AU; 490000; BE; 290000; CA; 390000; CH; 300000; CL; 290000000; CZ; 7990000; DE; 290000; DK; 2000000; ES; 290000; FI; 290000; FR; 290000; GB; 290000; GR; 290000; IE; 290000; IT; 290000; MC; 290000; MX; 7000000; NL; 290000; NO; 4000000; NZ; 490000; PT; 290000; SE; 4000000; US; 290000,4636282047423738387,DIGITAL_CONTENT,,,false
activity_packet_12,published,managed_by_android,false,"en-US; New Member Specials; New member specials, hurry up and buy it!; zh-TW; 活動禮包B; 超值活動禮包，快點購買吧！",false,SG; 2980000; AU; 2990000; BE; 2490000; CA; 2790000; CH; 2000000; CL; 1600000000; CZ; 47990000; DE; 2490000; DK; 14000000; ES; 2490000; FI; 2490000; FR; 2490000; GB; 1990000; GR; 2490000; IE; 2490000; IT; 2490000; MC; 2490000; MX; 45000000; NL; 2490000; NO; 19000000; NZ; 3490000; PT; 2490000; SE; 29000000; US; 1990000,4638030605074701685,DIGITAL_CONTENT,,,false
activity_packet_18,published,managed_by_android,false,"en-US; Activity Pack C; Super value activity Pack, buy it quickly!; zh-TW; 活動禮包C; 超值活動禮包，快點購買吧！",false,SG; 4480000; AU; 4490000; BE; 3490000; CA; 3990000; CH; 3100000; CL; 2400000000; CZ; 69990000; DE; 3490000; DK; 21000000; ES; 3490000; FI; 3490000; FR; 3490000; GB; 2990000; GR; 3490000; IE; 3490000; IT; 3490000; MC; 3490000; MX; 65000000; NL; 3490000; NO; 28000000; NZ; 4990000; PT; 3490000; SE; 39000000; US; 2990000,4635657977008581516,,,,false
activity_packet_3,published,managed_by_android,false,"en-US; Activity Pack G; Super value activity Pack, buy it quickly!",false,SG; 780000; AU; 990000; BE; 590000; CA; 590000; CH; 500000; CL; 460000000; CZ; 12990000; DE; 590000; DK; 4000000; ES; 590000; FI; 590000; FR; 590000; GB; 490000; GR; 590000; IE; 590000; IT; 590000; MC; 590000; MX; 11000000; NL; 590000; NO; 6000000; NZ; 990000; PT; 590000; SE; 5000000; US; 490000,4636574226528012035,DIGITAL_CONTENT,,,false
activity_packet_30,published,managed_by_android,false,"en-US; Activity Pack D; Super value activity Pack, buy it quickly!; zh-TW; 活動禮包D; 超值活動禮包，快點購買吧！",false,SG; 6980000; AU; 7990000; BE; 5990000; CA; 6990000; CH; 4800000; CL; 3800000000; CZ; 109990000; DE; 5990000; DK; 32000000; ES; 5990000; FI; 5990000; FR; 5990000; GB; 4990000; GR; 5990000; IE; 5990000; IT; 5990000; MC; 5990000; MX; 105000000; NL; 5990000; NO; 44000000; NZ; 8990000; PT; 5990000; SE; 49000000; US; 4990000,4635676448773441948,,,,false
activity_packet_50,published,managed_by_android,false,"en-US; Activity Pack E; Super value activity Pack, buy it quickly!",false,SG; 10980000; AU; 12990000; BE; 9990000; CA; 10990000; CH; 7600000; CL; 5900000000; CZ; 179990000; DE; 9990000; DK; 49000000; ES; 9990000; FI; 9990000; FR; 9990000; GB; 7990000; GR; 9990000; IE; 9990000; IT; 9990000; MC; 9990000; MX; 165000000; NL; 9990000; NO; 69000000; NZ; 13990000; PT; 9990000; SE; 99000000; US; 7990000,4636809490987253790,DIGITAL_CONTENT,,,false
activity_packet_6,published,managed_by_android,false,"en-US; Activity Pack A; Super value activity Pack, buy it quickly!; zh-TW; 活動禮包A; 超值活動禮包，快點購買吧！",false,SG; 1480000; AU; 1490000; BE; 1190000; CA; 1390000; CH; 1000000; CL; 800000000; CZ; 23990000; DE; 1190000; DK; 7000000; ES; 1190000; FI; 1190000; FR; 1190000; GB; 990000; GR; 1190000; IE; 1190000; IT; 1190000; MC; 1190000; MX; 22000000; NL; 1190000; NO; 9000000; NZ; 1690000; PT; 1190000; SE; 9000000; US; 990000,4636949807815236033,,,,false
activity_packet_88,published,managed_by_android,false,"en-US; Activity Pack F; Super value activity Pack, buy it quickly!",false,SG; 17980000; AU; 19990000; BE; 15990000; CA; 17990000; CH; 12000000; CL; 9700000000; CZ; 289990000; DE; 15990000; DK; 85000000; ES; 15990000; FI; 15990000; FR; 15990000; GB; 12990000; GR; 15990000; IE; 15990000; IT; 15990000; MC; 15990000; MX; 269000000; NL; 15990000; NO; 115000000; NZ; 22990000; PT; 15990000; SE; 179000000; US; 12990000,4637466744727782404,DIGITAL_CONTENT,,,false
battlepass_advance,published,managed_by_android,false,en-US; Fun Card Deluxe; Fun Card Deluxe; zh-TW; 遊玩卡豪華進階版; 解鎖豪華進階版等級獎勵; zh-CN; 游玩卡豪华进阶版; 解锁豪华进阶版等级奖励,false,SG; 33980000; AU; 37990000; BE; 28990000; CA; 32990000; CH; 23000000; CL; 18300000000; CZ; 549990000; DE; 28990000; DK; 159000000; ES; 28990000; FI; 28990000; FR; 28990000; GB; 23990000; GR; 28990000; IE; 28990000; IT; 28990000; MC; 28990000; MX; 509000000; NL; 28990000; NO; 215000000; NZ; 41990000; PT; 28990000; SE; 299000000; US; 23990000,4637485099123701007,,,,false
battlepass_advance_discount,published,managed_by_android,false,en-US; Fun Card Deluxe(Discount); Fun Card Deluxe(Discount); zh-TW; 游玩卡豪華进阶版(折扣); 解鎖豪華進階版等級獎勵,false,SG; 28980000; AU; 30990000; BE; 23990000; CA; 26990000; CH; 20000000; CL; 15600000000; CZ; 469990000; DE; 23990000; DK; 135000000; ES; 23990000; FI; 23990000; FR; 23990000; GB; 19990000; GR; 23990000; IE; 23990000; IT; 23990000; MC; 23990000; MX; 435000000; NL; 23990000; NO; 179000000; NZ; 34990000; PT; 23990000; SE; 249000000; US; 19990000,4637767949177231867,,,,false
